record_id,city,cmhc_centre,neighbourhood,bedroom_type,unit_type,monthly_rent,cmhc_avg_rent_2br_2025,vacancy_rate_2025,turnover_rate_2025,rent_change_pct_2024_2025,latitude,longitude,record_type,source_category,source_reference,vacancy_quality_code,rent_quality_code
CMHC-0001,Barrie,Barrie,Barrie,2 Bedroom,Apartment,1755,1755,4.3,12.8,4.3,44.3894,-79.6903,CMHC aggregate baseline,Official CMHC value,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
CMHC-0002,Belleville,Belleville - Quinte West,Belleville - Quinte West,2 Bedroom,Apartment,1484,1484,3.4,16.9,,44.1628,-77.3832,CMHC aggregate baseline,Official CMHC value,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
CMHC-0003,Brantford,Brantford,Brantford,2 Bedroom,Apartment,1619,1619,3.5,14.5,,43.1394,-80.2644,CMHC aggregate baseline,Official CMHC value,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
CMHC-0004,Guelph,Guelph,Guelph,2 Bedroom,Apartment,1802,1802,3.1,15.1,4.6,43.5448,-80.2482,CMHC aggregate baseline,Official CMHC value,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
CMHC-0005,Hamilton,Hamilton,Hamilton,2 Bedroom,Apartment,1656,1656,3.6,13.1,1.6,43.2557,-79.8711,CMHC aggregate baseline,Official CMHC value,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
CMHC-0006,Kingston,Kingston,Kingston,2 Bedroom,Apartment,1764,1764,2.4,17.3,2.4,44.2312,-76.486,CMHC aggregate baseline,Official CMHC value,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
CMHC-0007,Kitchener-Waterloo,Kitchener-Cambridge-Waterloo,Kitchener-Cambridge-Waterloo,2 Bedroom,Apartment,1832,1832,4.1,16.1,3.3,43.4516,-80.4925,CMHC aggregate baseline,Official CMHC value,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
CMHC-0008,London,London,London,2 Bedroom,Apartment,1651,1651,4,15.1,4.1,42.9849,-81.2453,CMHC aggregate baseline,Official CMHC value,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
CMHC-0009,St. Catharines,St. Catharines-Niagara,St. Catharines-Niagara,2 Bedroom,Apartment,1527,1527,3.9,12.8,5.5,43.1594,-79.2469,CMHC aggregate baseline,Official CMHC value,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
CMHC-0010,Oshawa,Oshawa,Oshawa,2 Bedroom,Apartment,1754,1754,3.7,4.8,,43.8971,-78.8658,CMHC aggregate baseline,Official CMHC value,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
CMHC-0011,Ottawa,Ottawa-Gatineau,Ottawa-Gatineau,2 Bedroom,Apartment,1926,1926,3,15.4,3.4,45.4215,-75.6972,CMHC aggregate baseline,Official CMHC value,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
CMHC-0012,Peterborough,Peterborough,Peterborough,2 Bedroom,Apartment,1518,1518,3.1,8.4,,44.3091,-78.3197,CMHC aggregate baseline,Official CMHC value,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
CMHC-0013,Greater Sudbury,Greater Sudbury,Greater Sudbury,2 Bedroom,Apartment,1558,1558,1.2,6.6,,46.4917,-80.993,CMHC aggregate baseline,Official CMHC value,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
CMHC-0014,Thunder Bay,Thunder Bay,Thunder Bay,2 Bedroom,Apartment,1495,1495,4,3.4,6.8,48.3809,-89.2477,CMHC aggregate baseline,Official CMHC value,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
CMHC-0015,Toronto,Toronto,Toronto,2 Bedroom,Apartment,2046,2046,3,8.7,3.4,43.6532,-79.3832,CMHC aggregate baseline,Official CMHC value,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
CMHC-0016,Windsor,Windsor,Windsor,2 Bedroom,Apartment,1454,1454,3.7,12.2,3.6,42.3149,-83.0364,CMHC aggregate baseline,Official CMHC value,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0017,Guelph,Guelph CMA,Guelph area 09,Studio,Apartment,1225,1802,3.1,15.1,4.6,43.465299,-80.181794,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0018,Brantford,Brantford CMA,Brantford area 09,2 Bedroom,Apartment,1685,1619,3.5,14.5,,43.045359,-80.341518,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0019,Barrie,Barrie CMA,Barrie area 03,2 Bedroom,Townhouse,1930,1755,4.3,12.8,4.3,44.451286,-79.828419,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0020,Thunder Bay,Thunder Bay CMA,Thunder Bay area 02,1 Bedroom,Apartment,1345,1495,4,3.4,6.8,48.323963,-89.168355,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0021,Brantford,Brantford CMA,Brantford area 09,1 Bedroom,Apartment,1405,1619,3.5,14.5,,43.200826,-80.201433,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0022,Guelph,Guelph CMA,Guelph area 11,3 Bedroom,Townhouse,2195,1802,3.1,15.1,4.6,43.46056,-80.305267,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0023,Peterborough,Peterborough CMA,Peterborough area 04,2 Bedroom,Apartment,1595,1518,3.1,8.4,,44.266978,-78.437145,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0024,Guelph,Guelph CMA,Guelph area 06,1 Bedroom,Townhouse,1620,1802,3.1,15.1,4.6,43.571937,-80.285496,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0025,Peterborough,Peterborough CMA,Peterborough area 09,1 Bedroom,Apartment,1205,1518,3.1,8.4,,44.223381,-78.281975,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0026,London,London CMA,London area 12,1 Bedroom,Townhouse,1305,1651,4,15.1,4.1,42.93889,-81.128999,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0027,London,London CMA,London area 04,2 Bedroom,Apartment,1655,1651,4,15.1,4.1,42.947991,-81.308799,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0028,Ottawa,Ottawa-Gatineau CMA (Ont. part),Ottawa area 08,1 Bedroom,Townhouse,1740,1926,3,15.4,3.4,45.400626,-75.579076,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0029,Hamilton,Hamilton CMA,Hamilton area 10,1 Bedroom,Apartment,1355,1656,3.6,13.1,1.6,43.305103,-79.890753,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0030,Greater Sudbury,Greater Sudbury/Grand Sudbury CMA,Greater Sudbury area 01,1 Bedroom,Apartment,1160,1558,1.2,6.6,,46.493605,-81.111842,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0031,Guelph,Guelph CMA,Guelph area 08,1 Bedroom,Apartment,1510,1802,3.1,15.1,4.6,43.457506,-80.280864,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0032,St. Catharines,St. Catharines-Niagara CMA,St. Catharines area 09,3 Bedroom,Apartment,1735,1527,3.9,12.8,5.5,43.195457,-79.352581,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0033,St. Catharines,St. Catharines-Niagara CMA,St. Catharines area 12,2 Bedroom,Apartment,1620,1527,3.9,12.8,5.5,43.150145,-79.122474,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0034,St. Catharines,St. Catharines-Niagara CMA,St. Catharines area 11,3 Bedroom,Apartment,1975,1527,3.9,12.8,5.5,43.160936,-79.354813,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0035,Oshawa,Oshawa CMA,Oshawa area 09,2 Bedroom,Apartment,1880,1754,3.7,4.8,,43.904976,-78.788467,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0036,Barrie,Barrie CMA,Barrie area 05,2 Bedroom,Townhouse,2095,1755,4.3,12.8,4.3,44.293295,-79.570206,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0037,London,London CMA,London area 03,Studio,Apartment,1205,1651,4,15.1,4.1,42.898743,-81.174052,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0038,Hamilton,Hamilton CMA,Hamilton area 07,2 Bedroom,Apartment,1730,1656,3.6,13.1,1.6,43.208711,-79.768826,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0039,Kitchener-Waterloo,Kitchener-Cambridge-Waterloo CMA,Kitchener-Waterloo area 09,3 Bedroom,Apartment,2215,1832,4.1,16.1,3.3,43.485937,-80.527373,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0040,Toronto,Toronto CMA,Toronto area 09,1 Bedroom,Apartment,1555,2046,3,8.7,3.4,43.566005,-79.515597,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0041,London,London CMA,London area 06,2 Bedroom,Apartment,1810,1651,4,15.1,4.1,42.930688,-81.134459,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
