age,sex,admission_category,province,world_region,speaks_official_language,education_level,family_size,field_of_study,previous_occupation,occupation_category,years_of_experience,teer_category,credential_recognition_status,regulated_profession,employment_probability,employed,employment_category,employment_occupation,employment_sector,occupationally_downgraded,annual_income,months_to_employment,rent_to_income_ratio,housing_affordable,affordability_score
35,M,Skilled Worker,Ontario,South Asia,1,University,1,Economics,HR Specialist,"Business, Finance & Administration",8,TEER 1,Not Recognized,0,0.8714413160800064,1,Sales & Service,Cashier,Accommodation & Food Services,1,21900.0,7,1.15,0,0.436
43,M,Skilled Worker,Ontario,South Asia,0,High School,4,General Studies,Administrative Officer,"Business, Finance & Administration",20,TEER 1,Fully Recognized,0,0.8325436652096319,1,"Business, Finance & Administration",Accountant,Public Administration,0,63300.0,2,0.4,0,0.706
33,M,Skilled Worker,Ontario,South Asia,1,University,3,Business Administration,Administrative Officer,"Business, Finance & Administration",2,TEER 1,Fully Recognized,0,0.879081733244869,1,"Business, Finance & Administration",Administrative Officer,Professional Services,0,91400.0,2,0.28,1,0.861
42,M,Skilled Worker,Ontario,South Asia,1,College,3,Business Administration,Restaurant Manager,Management,15,TEER 0,Fully Recognized,0,0.8811916074114801,1,Management,Restaurant Manager,Accommodation & Food Services,0,78000.0,4,0.32,0,0.8
27,M,Skilled Worker,Ontario,South Asia,1,University,1,Mathematics,Mechanical Engineer,Natural & Applied Sciences,2,TEER 1,Not Assessed,0,0.8703168351769119,1,"Trades, Transport & Equipment Operators",Electrician,Construction,1,31300.0,1,0.81,0,0.511
37,M,Skilled Worker,Ontario,South Asia,1,University,2,Economics,Financial Analyst,"Business, Finance & Administration",7,TEER 1,Not Recognized,0,0.8714413160800064,1,"Trades, Transport & Equipment Operators",Welder,Construction,1,57400.0,13,0.44,0,0.69
37,M,Skilled Worker,Ontario,South Asia,1,High School,1,General Studies,Data Analyst,Natural & Applied Sciences,14,TEER 1,Fully Recognized,0,0.8680427595776581,1,"Trades, Transport & Equipment Operators",Electrician,Construction,1,71400.0,2,0.35,0,0.763
28,M,Skilled Worker,Ontario,South Asia,1,College,1,Hospitality Management,Retail Sales Associate,Sales & Service,7,TEER 4,Not Assessed,0,0.8680427595776581,1,Sales & Service,Retail Sales Associate,Accommodation & Food Services,1,34400.0,6,0.73,0,0.539
27,M,Skilled Worker,Ontario,South Asia,1,High School,3,General Studies,Teacher,"Education, Law & Social Services",8,TEER 1,Not Recognized,1,0.8434021771309801,1,Sales & Service,Customer Service Representative,Accommodation & Food Services,1,41400.0,7,0.61,0,0.581
33,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,2,Business Administration,Bookkeeper,"Business, Finance & Administration",6,TEER 1,Partially Recognized,0,0.8863273012718985,1,"Business, Finance & Administration",Accountant,Professional Services,0,95100.0,7,0.26,1,0.883
37,M,Skilled Worker,Ontario,South Asia,1,University,3,Law,Social Worker,"Education, Law & Social Services",11,TEER 1,Partially Recognized,1,0.8822345526848225,1,"Trades, Transport & Equipment Operators",Auto Mechanic,Transportation & Warehousing,1,95200.0,9,0.26,1,0.882
29,M,Skilled Worker,Ontario,South Asia,1,College,3,Engineering Technology,IT Analyst,Natural & Applied Sciences,5,TEER 1,Not Assessed,0,0.8680427595776581,0,Not Employed,Not Employed,Not Applicable,0,0.0,5,1.75,0,0.347
28,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,1,Engineering,IT Analyst,Natural & Applied Sciences,0,TEER 1,Not Assessed,0,0.8747649709882901,1,"Trades, Transport & Equipment Operators",Auto Mechanic,Construction,1,44900.0,4,0.56,0,0.618
35,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,1,Engineering Technology,Truck Driver,"Trades, Transport & Equipment Operators",9,TEER 2,Fully Recognized,0,0.8912683888840068,1,"Trades, Transport & Equipment Operators",Auto Mechanic,Construction,0,98600.0,4,0.26,1,0.899
29,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,3,Management,Operations Manager,Management,0,TEER 0,Fully Recognized,0,0.8863273012718985,1,Management,Retail Manager,Retail Trade,0,98300.0,1,0.26,1,0.896
32,M,Skilled Worker,Ontario,South Asia,1,University,2,Mathematics,Software Developer,Natural & Applied Sciences,3,TEER 1,Fully Recognized,0,0.879081733244869,1,Natural & Applied Sciences,Data Analyst,Construction,0,51700.0,5,0.49,0,0.66
31,M,Skilled Worker,Ontario,South Asia,1,College,3,Accounting,HR Specialist,"Business, Finance & Administration",7,TEER 1,Partially Recognized,0,0.8714413160800064,1,Sales & Service,Retail Sales Associate,Accommodation & Food Services,1,56600.0,2,0.45,0,0.685
